sample_id,label_num,label,category,split,text_sha256
0,1,CG,Home_and_Kitchen_5,validation,b43ef16a38bdd9ed1613d4d9936463b5dab86f1810dfa09bf7797e85fc157473
1,1,CG,Home_and_Kitchen_5,train,9f27821db1c72359a8b7458515aec6b3b3d5e66335c5146125fcfa2674d7052b
2,1,CG,Home_and_Kitchen_5,train,90442a000d55950b69a8c3847c11a6f2d6ac9e8c4fc28f744a0df1bf6f3500be
3,1,CG,Home_and_Kitchen_5,train,fcfea0edd272a8ae684c9a0189bd367eccde859818154eb2df5c3d7c27e9718a
4,1,CG,Home_and_Kitchen_5,train,90d0dcb45dab9c15bf1ac052f7ede0c525f6ab142b757ad5bc2feb782c9ecc3a
5,1,CG,Home_and_Kitchen_5,test,658e895bc8210a1554626fc79a1c900750cab779f538867ca63ddef2aaf227d0
6,1,CG,Home_and_Kitchen_5,test,db29dbc089147c8b9933d633dfc893e61cb9546d1fcc58c467adc078cedcf428
7,1,CG,Home_and_Kitchen_5,train,4f43d510c70228d6371bb252c73b0acb31e0ddae6cf3b44650843c6f341e4b7d
8,1,CG,Home_and_Kitchen_5,test,1a1b813db2b61320df9d67f25d9e35feabb14bb2142bcf3436efd06db1f35700
9,1,CG,Home_and_Kitchen_5,train,f762c032c88b4e9fa80f4c1479a9df8fb48154dc7aba6ad45e2a12b509e353b9
10,1,CG,Home_and_Kitchen_5,train,407729db5945f9e12ae2cff6e305b412056096b3f52d2cc3bd730041d7be7d88
11,1,CG,Home_and_Kitchen_5,train,6c2c600f3f22812de56a2b886b969fa476d53fe73739dbfc77441268daa1fbe6
12,1,CG,Home_and_Kitchen_5,train,168d2bc790f94f7b999896d4cb29a77da2fcbd745ea9578f28f5c61c51344d81
13,1,CG,Home_and_Kitchen_5,validation,b4b704b4eb0bc19d61c66b203cd359f4904d8f37757197bd46bb09465c151c77
14,1,CG,Home_and_Kitchen_5,train,7b3e613e40a411783cf81702afb364a10fd152b3a3cd1c6a6f465eadd694129b
15,1,CG,Home_and_Kitchen_5,train,d7c5c13c061da18dbf86a955b5354d3c448e793cc5655faa4c3913b0ea1f3864
16,1,CG,Home_and_Kitchen_5,train,af2c74a1b2e4ee1263cf9650ba61010b27ee1e22d5d9551bdc149c146946c383
17,1,CG,Home_and_Kitchen_5,test,1b206cce739162f114ee85e3d7a7a3f9496d0f3477800dc541b15f663a912b95
18,1,CG,Home_and_Kitchen_5,test,ca8b9fada214bc4cc8aaf023216d1d1f851c766bf7a317424e1803d7d657abbf
19,1,CG,Home_and_Kitchen_5,train,0c3b25e45b882ea2763217299bda0fb9f323491740913647e05ab3e3eafe6c5d
20,1,CG,Home_and_Kitchen_5,train,5318ccb2befa4b62bfa0f3a573542cecff89fc6215e1a2fc5622e973937c4e42
21,1,CG,Home_and_Kitchen_5,train,8f780d786a8631db97fadd60725550fa5f8a372dc5dddfcc106075c71df57d9e
22,1,CG,Home_and_Kitchen_5,train,ff8bf7448d52c389c73597b60a1afd2135c35382f057df98b600526950dc3561
23,1,CG,Home_and_Kitchen_5,train,290cd673021707fed4e2b0a653355cd92e9ecbc679b62e867f10cfabdeaf1915
24,1,CG,Home_and_Kitchen_5,train,6215544d1f22a50d6db1edebce9c8567164cfafa210e6b441c482b01d3493bea
25,1,CG,Home_and_Kitchen_5,train,72de8dc5676f1eae2e927efb0d0603036c9b288ba86e1df677f1d11a5b2081c5
26,1,CG,Home_and_Kitchen_5,train,a62f1575662fb8dfbf95f52d482fb43f74d774b14bb2e8b18d7c4a6b901e9d5e
27,1,CG,Home_and_Kitchen_5,train,9f97d58d5c0b7bd570f00727a500d12d44757530d14a8b6b916131cd6ff8b2f7
28,1,CG,Home_and_Kitchen_5,test,35fd636a001be6280431eda182611a9ce4131ec317664bbf6cf2c8eeb5c4d991
29,1,CG,Home_and_Kitchen_5,train,82d82df7f1cc0cd317ad2f9e05c7ef66ee30b2998e3f7aba07eb90038dd0c52f
30,1,CG,Home_and_Kitchen_5,train,3ee0bea0cf32528fef6b7d019f0aa5ca682db23ba0a06194ff63e64826dcd57e
31,1,CG,Home_and_Kitchen_5,train,cf284a1ee1c719bd789be1a5d0f3af0a0ac9f2cef32792ffe357e92f3884bdb3
32,1,CG,Home_and_Kitchen_5,test,46d4cb16bb80b6b6f87e770e0d658c057df0174197876cd58cd22b780433aaf1
33,1,CG,Home_and_Kitchen_5,test,f54d87c47b9c6d182bce629e58885b46d8bad4b654e75df2545457925bf62774
34,1,CG,Home_and_Kitchen_5,train,bf496e2a1c5c46ede1ac9a1cf804a11b76b1896069af0c5bcde7ac8ca782c534
35,1,CG,Home_and_Kitchen_5,validation,2b84ef5d13fb22d2adec7dffc29f3a32cd6123b4639996112d5651e4420351ca
36,1,CG,Home_and_Kitchen_5,train,8e628ea4c7e1697b452ca7f4e48560102c7ed346487bb2191195f88bb1b96981
37,1,CG,Home_and_Kitchen_5,test,dd5e8e263ce749f48f6c91403b276c4084cb2f7ffcef738ae30e9ab13477ee24
38,1,CG,Home_and_Kitchen_5,validation,3f22681f556dbd22e713e11ccaab4978aadc4a13bb355127829a9be2668e28f7
39,1,CG,Home_and_Kitchen_5,train,1af6b3423729c52feb6bee87342b1ed23556aaef465b6c3c07465d4a8156a275
40,1,CG,Home_and_Kitchen_5,train,87eaf9c4af918042a0a00c0051c9b5635e701a13939a404034ff4c809db9aef3
41,1,CG,Home_and_Kitchen_5,train,c79d03e5154c14dca3bf01ce7ce3df181d6dabd3499f4b1b762cd37ba90d60de
42,1,CG,Home_and_Kitchen_5,train,c219f71001bb0c23ba11a1caabb028fde6f571981aa70949756584aacdfbd748
43,1,CG,Home_and_Kitchen_5,train,6ff8f0a485e402ba7f42ccd3f1e89ff4ee0e39a80d61190c382113594939ab73
44,1,CG,Home_and_Kitchen_5,train,03e749fe2519be41ec285942918a9473ec3202aade73f17a6f88dc1557583433
45,1,CG,Home_and_Kitchen_5,train,b9e2252a1e49df4f346dc5cf9552c05b471aab6b15a932375ebd8a1e253a2d19
46,1,CG,Home_and_Kitchen_5,test,39b4bf966cb469bcc9eec6bab5be9d40a4aade113e0a351d0fb31ee258bd25ab
47,1,CG,Home_and_Kitchen_5,train,3047fbf14bbf21d4f0fac3a883c5b7f21c430564d10b00eda8396f101b4f5ff7
48,1,CG,Home_and_Kitchen_5,train,1bc3324d17ec9f46b111f5621938432239764a12c3b52039fcd69892c8447405
49,1,CG,Home_and_Kitchen_5,train,cb3a99de4060eabea7a40e3ad6f43f4b902a7a6e53f13acdbb1f9869d85e154e
50,1,CG,Home_and_Kitchen_5,train,09aa082999665d478413f4dc28ed63ccd03b28e35034408020bcbb4ca2f32b48
51,1,CG,Home_and_Kitchen_5,train,854cecc25e09a0fab965071c9abf38d4d71460fb2f4686a5d2db73c5748991b8
52,1,CG,Home_and_Kitchen_5,train,74f754477ba0c1ff61ac75027113a126da8a1db8cb12720d18627d0d9cc28c83
53,1,CG,Home_and_Kitchen_5,train,4720a17861efbd6d788366e41e122d36d24207a5d334dcfe3436384d56ca1683
54,1,CG,Home_and_Kitchen_5,train,85828ca9da0d7c353b4afe39eb1e1369282201ca59764923a07d8475ad94beee
55,0,OR,Home_and_Kitchen_5,train,4f55680ef50680d508d392c2686b2ffb4517452f306013bd67585d435687ff17
56,0,OR,Home_and_Kitchen_5,train,720d0bbbe9b7203f3545ae1be7a169391c51a2d1689d4ba3c6ef2442eb1aaa1a
57,0,OR,Home_and_Kitchen_5,train,79a9916bc337111cb489527d604333ff5cf087a2ca8104350813bcbe3a831b22
58,0,OR,Home_and_Kitchen_5,train,f6e932d0ec4bdc0e2f1812220bb61c47c1f76520b0f272c1cc8d8309c54054f0
59,0,OR,Home_and_Kitchen_5,train,1cd5119b513a903854100621c1cd8685433bb81f6f42338d785c9fa13e8ea5a7
60,0,OR,Home_and_Kitchen_5,train,c6edfc56f8efe9a2df93833794e34a77015f916bae6c310f711868dc90c4287a
61,0,OR,Home_and_Kitchen_5,train,32ba1680ded3df52d79f548931a3906d8744ea6f2605f6f47bd4a04d509b8a1f
62,0,OR,Home_and_Kitchen_5,train,350febcda777dfa9c886f5a9267d7f09e099c606093f4842fc459a6c1a726fd5
63,0,OR,Home_and_Kitchen_5,train,578114f1e3985d89f6d5b8ca73448d2699f7909b4a080e33210553f6f902d45f
64,0,OR,Home_and_Kitchen_5,test,d45af73fc4154c925d66dcaca91476a29fa26ff7d9da54a39126b7e89813d975
65,0,OR,Home_and_Kitchen_5,train,4137a6845f5d272e799b5171de898b49a66fe75624584336a9e8f068e29a9d15
66,0,OR,Home_and_Kitchen_5,train,26520a8b5ccc41719dc90dfde89aea157edbcac40f999efb85d7578221271fed
67,0,OR,Home_and_Kitchen_5,validation,531804fd6147ea078e4cb75431c93d031acc02ce170a3cd3b46630180ed588ea
68,0,OR,Home_and_Kitchen_5,train,bc4584f29afc93477032112a7bcab09dd7db7a32a72ec59a9af9c434c181c5b9
