system_key,system,system_type,source_threshold,inference_seconds,reviews_per_second,inference_batch_size,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,balanced_accuracy,mcc,fpr,fnr,tn,fp,fn,tp,threshold,ensemble_rank,members,weights,selection_data,accuracy_ci_low,accuracy_ci_high,f1_ci_low,f1_ci_high,roc_auc_ci_low,roc_auc_ci_high,accuracy_wilson_ci_low,accuracy_wilson_ci_high
model::bert,BERT,model,0.20804226459082598,41.0136394,98.25999494207285,16.0,0.49057071960297766,0.0,0.0,0.0,0.9054992087469429,0.8259835072736831,0.9954682779456193,0.49773413897280966,-0.047995999686044045,0.004531722054380665,1.0,1977,9,2044,0,0.20804226459082598,,,,,0.4761786600496278,0.5054590570719603,0.0,0.0,0.8942207572695432,0.9161780701373897,0.47515269791410547,0.5060067004470242
model::bert_sentiment_profile,BERT + Sentiment Profile,model,0.21800289870082784,40.5760865,99.31958322299022,8.0,0.49181141439205955,0.0,0.0,0.0,0.3219219960466908,0.3884771244576816,0.9979859013091642,0.4989929506545821,-0.03197745776766473,0.002014098690835851,1.0,1982,4,2044,0,0.21800289870082784,,,,,0.4774193548387097,0.5064516129032258,0.0,0.0,0.3040144945323659,0.3380689468562427,0.47639153717835536,0.5072468877142046
model::roberta,RoBERTa,model,0.03126213002387761,38.78444789999999,103.90762839761865,16.0,0.49230769230769234,0.0,0.0,0.0,0.4254379482207153,0.4307061774807394,0.998992950654582,0.499496475327291,-0.022605862961341934,0.0010070493454179255,1.0,1984,2,2044,0,0.03126213002387761,,,,,0.47815756823821337,0.506954094292804,0.0,0.0,0.4076854840097865,0.44205776867645846,0.4768870994716173,0.5077429360335147
model::roberta_sentiment_profile,RoBERTa + Sentiment Profile,model,0.9790508217963078,40.59995709999998,99.26118862820182,8.0,0.4647642679900744,0.025210084033613446,0.0014677103718199608,0.0027739251040221915,0.4884691864578468,0.4530627781137162,0.9415911379657603,0.4715294241687901,-0.16816628332192118,0.05840886203423968,0.9985322896281801,1870,116,2041,3,0.9790508217963078,,,,,0.4501178660049628,0.4794106699751861,0.0,0.006466662182261187,0.47060639430473145,0.5067842129779863,0.44940640551272487,0.4801892409946545
model::deberta,DeBERTa,model,0.019570925940085426,60.163544900000005,66.98408490886646,16.0,0.49156327543424316,0.0,0.0,0.0,0.5743970021067235,0.5179633351883787,0.9974823766364552,0.4987411883182276,-0.03575632561015294,0.0025176233635448137,1.0,1981,5,2044,0,0.019570925940085426,,,,,0.4774193548387097,0.5064516129032258,0.0,0.0,0.5557471010186579,0.5912456397858535,0.4761437617288684,0.5069988578574054
model::deberta_sentiment_profile,DeBERTa + Sentiment Profile,model,0.99,61.225505999999996,65.82224081578028,8.0,0.4913151364764268,0.0,0.0,0.0,0.558759407831336,0.5158215804442788,0.9969788519637462,0.4984894259818731,-0.03917395885294726,0.0030211480362537764,1.0,1980,6,2044,0,0.99,,,,,0.4771712158808933,0.5059615384615385,0.0,0.0,0.5398585053061592,0.5763268244516224,0.47589599007760175,0.506750824202386
model::deberta_v3_base,DeBERTa-v3,model,0.13417820632457733,63.2814873,63.68371180808198,8.0,0.48982630272952854,0.0,0.0,0.0,0.510769367963218,0.4691780884283853,0.9939577039274925,0.49697885196374625,-0.055441692590535996,0.006042296072507553,1.0,1974,12,2044,0,0.13417820632457733,,,,,0.47493176178660046,0.5047146401985112,0.0,0.0,0.49061677008449844,0.5279108693625538,0.4744094399382439,0.5052625425040276
model::deberta_v3_sentiment_gated,DeBERTa-v3 + Sentiment Profile (Gated),model,0.05772783383033802,59.73298699999998,67.46690902967904,8.0,0.49032258064516127,0.0,0.0,0.0,0.45010302055681345,0.43567691695270316,0.9949647532729103,0.49748237663645517,-0.05059851803566751,0.005035246727089627,1.0,1976,10,2044,0,0.05772783383033802,,,,,0.4759305210918114,0.5052109181141439,0.0,0.0,0.43186057233923814,0.4686439081338972,0.47490494145671575,0.5057586515981277
model::modernbert_base,ModernBERT,model,0.28302879089934707,1901.7398130000001,2.1191121795166414,4.0,0.49255583126550867,0.0,0.0,0.0,0.7238132682200057,0.6173389550133666,0.999496475327291,0.4997482376636455,-0.01598277515847836,0.0005035246727089627,1.0,1985,1,2044,0,0.28302879089934707,,,,,0.4784119106699752,0.5072022332506203,0.0,0.0,0.7075085262584573,0.7397512463297558,0.4771348863152127,0.5079909544962053
model::modernbert_sentiment_profile,ModernBERT + Sentiment Profile,model,0.02106755665214396,1815.8221373000001,2.2193803661807574,4.0,0.49205955334987594,0.0,0.0,0.0,0.4521594902083666,0.44682813215589634,0.9984894259818731,0.49924471299093653,-0.027689852109955542,0.0015105740181268882,1.0,1983,3,2044,0,0.02106755665214396,,,,,0.47766749379652607,0.5069478908188586,0.0,0.0,0.43473175686640325,0.4696238520738026,0.47663931642596874,0.5074949137728773
