system,is_final,auc_all,auc_format_free,ff_ci_low,ff_ci_high,ff_n_machine,auc_length_stratified,length_strata_used,auc_not_truncated,nt_ci_low,nt_ci_high,nt_n
BERT,False,0.9054992087469429,0.8500757893244429,0.8315622996130364,0.8671345856048205,483,0.9323981475445386,5,0.9004976571483109,0.8878206335973572,0.9133119489193761,2967
BERT + Sentiment Profile,False,0.3219219960466908,0.325295703464625,0.29888726168976726,0.3497218028524256,483,0.3136981125548958,5,0.32468379455622165,0.3060194792114092,0.3435845608116675,2967
RoBERTa,False,0.4254379482207153,0.5700842752267945,0.5450973088288734,0.5947736827529547,483,0.47604473352659676,5,0.43365452991997283,0.415342597748277,0.453443468277501,3008
RoBERTa + Sentiment Profile,False,0.4884691864578468,0.5400005003971902,0.5158376718394961,0.5624431448618276,483,0.5043690489336141,5,0.4983316616782356,0.4777144739743728,0.5192331303558689,3008
DeBERTa,False,0.5743970021067235,0.5702792216321706,0.5469428419410738,0.5950532509112445,483,0.5759375029102602,5,0.5829244854132615,0.5631953030256105,0.6029830078539817,3008
DeBERTa + Sentiment Profile,False,0.558759407831336,0.678756992529487,0.6517702077125963,0.7044054151145407,483,0.6111752661807142,5,0.5557859609274944,0.5363350845385467,0.5754317556350859,3008
DeBERTa-v3,False,0.510769367963218,0.5442700351737525,0.5182358530721083,0.5669138151185106,483,0.5666432958913112,5,0.5064067427000123,0.48542223839209686,0.5271933108555737,3182
DeBERTa-v3 + Sentiment Profile (Gated),False,0.45010302055681345,0.599609273193931,0.575431966266282,0.6215890781415959,483,0.5145393274272235,5,0.4286931493715769,0.40908196081303716,0.44853127817588784,3182
ModernBERT,False,0.7238132682200057,0.6743477635373076,0.6474739371775531,0.6964586900267298,483,0.7407600069713205,5,0.7104804622510005,0.6909069488385011,0.7308221016367799,2924
ModernBERT + Sentiment Profile,False,0.4521594902083666,0.4787722129440243,0.44957520848098553,0.5078634759670546,483,0.4769573911296599,5,0.44566906672961915,0.42384932749249954,0.46557232131773957,2924
ELECTRA,False,0.4730135163364688,0.6398703971277202,0.6152056166072986,0.6632387437825261,483,0.5319662981889202,5,0.46232508146579343,0.4429669294870163,0.48270547260610547,2967
ELECTRA + Sentiment Profile,False,0.3827660797795922,0.5166684389067155,0.487061835709026,0.5455717649369434,483,0.41279862595805766,5,0.38775899759579335,0.36827193787033446,0.4074647044375474,2967
DistilBERT,False,0.2695067773829724,0.4271796988859908,0.4014448919004769,0.4531767332789855,483,0.30145506358669116,5,0.26185355699878654,0.24532595533230422,0.2807059642441611,2967
DistilBERT + Sentiment Profile,False,0.2721895735904758,0.348984297953167,0.3250480482714848,0.3739167922297003,483,0.30953594154734043,5,0.2474096831810063,0.23160169816455659,0.2648469990640837,2967
E1 Equal Soft,False,0.35500435534061325,0.44788259013925635,0.4214630703540261,0.4726637172588992,483,0.3993901424996441,5,0.3540107613334158,0.3330003312166405,0.3751330803285498,2901
E1 Weighted Soft,True,0.43567472306142996,0.5046755862465832,0.47906817177681343,0.5294432037948111,483,0.4685405859900406,5,0.4403849721927525,0.4184850965981358,0.4616519816160624,2901
E2 Equal Soft,False,0.44179412442873106,0.5928372312189467,0.568456149436866,0.6150562366755734,483,0.49669327919473266,5,0.43773698007107614,0.41686025394767273,0.45889229779189267,2901
E2 Weighted Soft,False,0.4348268111614964,0.5834141266296791,0.559097045539486,0.6058154368009772,483,0.4891485543157662,5,0.4323477499678873,0.41144988962991264,0.45333300308659646,2901
E3 Equal Soft,False,0.47041349130804083,0.6384129903110595,0.6138478325497447,0.6618942140132501,483,0.5302075032162533,5,0.4637310342696455,0.4425948828584059,0.4852181701357811,2902
E3 Weighted Soft,False,0.4718252818654259,0.6392386456750045,0.6146691835979091,0.6626468092004352,483,0.5311933330761217,5,0.46533410349114435,0.4442348421811656,0.4868218153617177,2902
