comparison,stage_a,stage_b,model_a_key,model_a,model_b_key,model_b,metric,a,b,difference_b_minus_a,difference_pp_b_minus_a,ci_low,ci_high,ci_low_pp,ci_high_pp,bootstrap_n_valid,ci_excludes_zero
Traditional ML -> Deep Learning,Traditional ML,Deep Learning,tfidf_svm,TF-IDF + SVM,word2vec_lstm,Word2Vec + LSTM,accuracy,0.9432352213702696,0.9500371011625031,0.006801879792233456,0.6801879792233456,0.0016046252782587036,0.012370145931239154,0.16046252782587037,1.2370145931239154,1000,True
Traditional ML -> Deep Learning,Traditional ML,Deep Learning,tfidf_svm,TF-IDF + SVM,word2vec_lstm,Word2Vec + LSTM,f1,0.9440312157054018,0.9499752352649826,0.005944019559580793,0.5944019559580793,0.0008453851621181149,0.011268753730212683,0.08453851621181149,1.1268753730212684,1000,True
Traditional ML -> Deep Learning,Traditional ML,Deep Learning,tfidf_svm,TF-IDF + SVM,word2vec_lstm,Word2Vec + LSTM,roc_auc,0.986271376070547,0.9881209283238166,0.0018495522532695485,,-0.0001588255947740119,0.0037123537914083207,,,1000,False
Deep Learning -> Plain Transformer,Deep Learning,Plain Transformer,word2vec_lstm,Word2Vec + LSTM,modernbert_base,ModernBERT,accuracy,0.9500371011625031,0.9823151125401929,0.03227801137768982,3.227801137768982,0.027825871877318775,0.03710425426663373,2.7825871877318775,3.7104254266633734,1000,True
Deep Learning -> Plain Transformer,Deep Learning,Plain Transformer,word2vec_lstm,Word2Vec + LSTM,modernbert_base,ModernBERT,f1,0.9499752352649826,0.9824259555118594,0.032450720246876785,3.2450720246876785,0.027780326225513262,0.03719137489314761,2.778032622551326,3.719137489314761,1000,True
Deep Learning -> Plain Transformer,Deep Learning,Plain Transformer,word2vec_lstm,Word2Vec + LSTM,modernbert_base,ModernBERT,roc_auc,0.9881209283238166,0.9985351020026616,0.010414173678845007,,0.00868871720826589,0.012161289497650406,,,1000,True
Plain Transformer -> Validation-selected Transformer configuration,Plain Transformer,Validation-selected Transformer configuration,modernbert_base,ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,accuracy,0.9823151125401929,0.9831808063319317,0.0008656937917388419,0.08656937917388419,-0.0016077170418006298,0.0034627751669552564,-0.16077170418006298,0.34627751669552564,1000,False
Plain Transformer -> Validation-selected Transformer configuration,Plain Transformer,Validation-selected Transformer configuration,modernbert_base,ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,f1,0.9824259555118594,0.9831432821021319,0.0007173265902724602,0.07173265902724602,-0.0017547359315201543,0.003305729318740308,-0.17547359315201544,0.3305729318740308,1000,False
Plain Transformer -> Validation-selected Transformer configuration,Plain Transformer,Validation-selected Transformer configuration,modernbert_base,ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,roc_auc,0.9985351020026616,0.9984194151322097,-0.00011568687045193649,,-0.0004753834634801224,0.0002679118820331282,,,1000,False
Validation-selected Transformer configuration -> Final weighted ensemble,Validation-selected Transformer configuration,Final weighted ensemble,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,ensemble_rank1_weighted_soft,DistilBERT + Sentiment Profile + ModernBERT + Sentiment Profile + RoBERTa + Sentiment Profile (Weighted Soft Voting),accuracy,0.9831808063319317,0.9875092752906258,0.004328468958694098,0.43284689586940983,0.002102399208508521,0.0066782092505565105,0.21023992085085208,0.667820925055651,1000,True
Validation-selected Transformer configuration -> Final weighted ensemble,Validation-selected Transformer configuration,Final weighted ensemble,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,ensemble_rank1_weighted_soft,DistilBERT + Sentiment Profile + ModernBERT + Sentiment Profile + RoBERTa + Sentiment Profile (Weighted Soft Voting),f1,0.9831432821021319,0.9874767513949163,0.004333469292784442,0.4333469292784442,0.002158860866543902,0.006644442279719503,0.2158860866543902,0.6644442279719504,1000,True
Validation-selected Transformer configuration -> Final weighted ensemble,Validation-selected Transformer configuration,Final weighted ensemble,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,ensemble_rank1_weighted_soft,DistilBERT + Sentiment Profile + ModernBERT + Sentiment Profile + RoBERTa + Sentiment Profile (Weighted Soft Voting),roc_auc,0.9984194151322097,0.9991436969192421,0.0007242817870324325,,0.0003776508178364002,0.0010943495061972227,,,1000,True
