comparison,stage_a,stage_b,model_a_key,model_a,model_b_key,model_b,metric,a,b,difference_b_minus_a,difference_pp_b_minus_a,ci_low,ci_high,ci_low_pp,ci_high_pp,bootstrap_n_valid,ci_excludes_zero,backbone
BERT: plain vs sentiment,BERT plain,BERT sentiment,bert,BERT,bert_sentiment_profile,BERT + Sentiment Profile,accuracy,0.9713084343309424,0.9654959188721247,-0.005812515458817669,-0.5812515458817669,-0.008904279000741977,-0.002841330695028385,-0.8904279000741977,-0.2841330695028385,1000,True,BERT
BERT: plain vs sentiment,BERT plain,BERT sentiment,bert,BERT,bert_sentiment_profile,BERT + Sentiment Profile,f1,0.9714215323971421,0.9658632081243118,-0.005558324272830317,-0.5558324272830317,-0.008578539870404727,-0.0025125395764098034,-0.8578539870404727,-0.25125395764098035,1000,True,BERT
BERT: plain vs sentiment,BERT plain,BERT sentiment,bert,BERT,bert_sentiment_profile,BERT + Sentiment Profile,roc_auc,0.9966144001828476,0.9949428136123619,-0.001671586570485717,,-0.0023997397615452528,-0.000980546440025898,,,1000,True,BERT
RoBERTa: plain vs sentiment,RoBERTa plain,RoBERTa sentiment,roberta,RoBERTa,roberta_sentiment_profile,RoBERTa + Sentiment Profile,accuracy,0.968464011872372,0.9802127133316844,0.011748701459312394,1.1748701459312394,0.007667573583972298,0.015582488251298598,0.7667573583972298,1.5582488251298598,1000,True,RoBERTa
RoBERTa: plain vs sentiment,RoBERTa plain,RoBERTa sentiment,roberta,RoBERTa,roberta_sentiment_profile,RoBERTa + Sentiment Profile,f1,0.9685534591194969,0.9803439803439803,0.01179052122448343,1.179052122448343,0.007776268578800066,0.015560158477960767,0.7776268578800066,1.5560158477960768,1000,True,RoBERTa
RoBERTa: plain vs sentiment,RoBERTa plain,RoBERTa sentiment,roberta,RoBERTa,roberta_sentiment_profile,RoBERTa + Sentiment Profile,roc_auc,0.9965634086405306,0.9984901670442549,0.0019267584037242491,,0.0014068961411763837,0.0024775109408392585,,,1000,True,RoBERTa
DeBERTa: plain vs sentiment,DeBERTa plain,DeBERTa sentiment,deberta,DeBERTa,deberta_sentiment_profile,DeBERTa + Sentiment Profile,accuracy,0.9805837249567153,0.9809547365817463,0.0003710116250309481,0.03710116250309481,-0.0023497402918624148,0.0033421963888202316,-0.23497402918624147,0.33421963888202316,1000,False,DeBERTa
DeBERTa: plain vs sentiment,DeBERTa plain,DeBERTa sentiment,deberta,DeBERTa,deberta_sentiment_profile,DeBERTa + Sentiment Profile,f1,0.980662643182658,0.9809547365817463,0.0002920933990883112,0.029209339908831122,-0.0024321008850629656,0.0032875328274722857,-0.24321008850629655,0.3287532827472286,1000,False,DeBERTa
DeBERTa: plain vs sentiment,DeBERTa plain,DeBERTa sentiment,deberta,DeBERTa,deberta_sentiment_profile,DeBERTa + Sentiment Profile,roc_auc,0.9982346587341323,0.9981397722528681,-9.48864812642114e-05,,-0.0004587869735404787,0.000270108010454062,,,1000,False,DeBERTa
DeBERTa-v3: plain vs sentiment,DeBERTa-v3 plain,DeBERTa-v3 sentiment,deberta_v3_base,DeBERTa-v3,deberta_v3_sentiment_gated,DeBERTa-v3 + Sentiment Profile (Gated),accuracy,0.9823151125401929,0.9802127133316844,-0.002102399208508521,-0.21023992085085208,-0.00457581004204799,0.0003741033885728689,-0.45758100420479897,0.03741033885728689,1000,False,DeBERTa-v3
DeBERTa-v3: plain vs sentiment,DeBERTa-v3 plain,DeBERTa-v3 sentiment,deberta_v3_base,DeBERTa-v3,deberta_v3_sentiment_gated,DeBERTa-v3 + Sentiment Profile (Gated),f1,0.9823609226594301,0.9803777287220996,-0.001983193937330485,-0.19831939373304852,-0.004453823906395429,0.0004967302234401656,-0.44538239063954294,0.04967302234401656,1000,False,DeBERTa-v3
DeBERTa-v3: plain vs sentiment,DeBERTa-v3 plain,DeBERTa-v3 sentiment,deberta_v3_base,DeBERTa-v3,deberta_v3_sentiment_gated,DeBERTa-v3 + Sentiment Profile (Gated),roc_auc,0.9985779569221493,0.9983705648064267,-0.0002073921157226266,,-0.0005184712004531438,8.344715943734704e-05,,,1000,False,DeBERTa-v3
ModernBERT: plain vs sentiment,ModernBERT plain,ModernBERT sentiment,modernbert_base,ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,accuracy,0.9823151125401929,0.9831808063319317,0.0008656937917388419,0.08656937917388419,-0.0016077170418006298,0.0034627751669552564,-0.16077170418006298,0.34627751669552564,1000,False,ModernBERT
ModernBERT: plain vs sentiment,ModernBERT plain,ModernBERT sentiment,modernbert_base,ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,f1,0.9824259555118594,0.9831432821021319,0.0007173265902724602,0.07173265902724602,-0.0017547359315201543,0.003305729318740308,-0.17547359315201544,0.3305729318740308,1000,False,ModernBERT
ModernBERT: plain vs sentiment,ModernBERT plain,ModernBERT sentiment,modernbert_base,ModernBERT,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,roc_auc,0.9985351020026616,0.9984194151322097,-0.00011568687045193649,,-0.0004753834634801224,0.0002679118820331282,,,1000,False,ModernBERT
ELECTRA: plain vs sentiment,ELECTRA plain,ELECTRA sentiment,electra_base,ELECTRA,electra_sentiment_profile,ELECTRA + Sentiment Profile,accuracy,0.9809547365817463,0.9706900816225575,-0.010264654959188713,-1.0264654959188713,-0.013727430126143858,-0.007172891417264404,-1.3727430126143858,-0.7172891417264404,1000,True,ELECTRA
ELECTRA: plain vs sentiment,ELECTRA plain,ELECTRA sentiment,electra_base,ELECTRA,electra_sentiment_profile,ELECTRA + Sentiment Profile,f1,0.9808457711442786,0.9704304429195258,-0.010415328224752773,-1.0415328224752773,-0.013872915689986326,-0.007234753085063981,-1.3872915689986327,-0.7234753085063981,1000,True,ELECTRA
ELECTRA: plain vs sentiment,ELECTRA plain,ELECTRA sentiment,electra_base,ELECTRA,electra_sentiment_profile,ELECTRA + Sentiment Profile,roc_auc,0.9983135166801992,0.9962703678634477,-0.0020431488167514944,,-0.0026071093896175537,-0.0014690168731645167,,,1000,True,ELECTRA
DistilBERT: plain vs sentiment,DistilBERT plain,DistilBERT sentiment,distilbert,DistilBERT,distilbert_sentiment_profile,DistilBERT + Sentiment Profile,accuracy,0.9823151125401929,0.9812020776651001,-0.0011130348750927332,-0.11130348750927332,-0.0038337867919860935,0.001607717041800627,-0.38337867919860935,0.1607717041800627,1000,False,DistilBERT
DistilBERT: plain vs sentiment,DistilBERT plain,DistilBERT sentiment,distilbert,DistilBERT,distilbert_sentiment_profile,DistilBERT + Sentiment Profile,f1,0.9823304089954281,0.9811741392122864,-0.0011562697831417612,-0.11562697831417612,-0.003826578862226557,0.0015652045858895374,-0.3826578862226557,0.15652045858895375,1000,False,DistilBERT
DistilBERT: plain vs sentiment,DistilBERT plain,DistilBERT sentiment,distilbert,DistilBERT,distilbert_sentiment_profile,DistilBERT + Sentiment Profile,roc_auc,0.998555565914965,0.998442540270777,-0.00011302564418802508,,-0.00038671342831101964,0.000138468920683385,,,1000,False,DistilBERT
